date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol,ts_code,daily_return
2018-06-01,58.65576392730528,59.45909881591797,58.447949947026565,59.45909881591797,1060500,0.0,0.0,0.0,SOXX,SOXX,0.022781943189403853
2018-06-04,59.61728509845434,59.998794468390535,59.39086418582417,59.93055725097656,1170900,0.0,0.0,0.0,SOXX,SOXX,0.007929121773577519
2018-06-05,60.088740627622414,60.377194081977905,59.86231971619266,60.21590805053711,641400,0.0,0.0,0.0,SOXX,SOXX,0.0047613573550726596
2018-06-06,60.287249913094776,60.59741973876953,59.96467783786167,60.59741973876953,1268100,0.0,0.0,0.0,SOXX,SOXX,0.006335729221458086
2018-06-07,60.65633570545693,60.72457290910065,59.626580077062,60.05771255493164,2082900,0.0,0.0,0.0,SOXX,SOXX,-0.008906438362632052
2018-06-08,59.37224938544387,59.63588767506005,59.04347267065642,59.5211296081543,2429700,0.0,0.0,0.0,SOXX,SOXX,-0.008934455275607767
2018-06-11,59.43117985138496,59.7072274896419,59.210960078402174,59.406368255615234,1277700,0.0,0.0,0.0,SOXX,SOXX,-0.0019280775296868224
2018-06-12,59.55834715931346,59.753751774945286,59.17994017558874,59.71342849731445,932400,0.0,0.0,0.0,SOXX,SOXX,0.005168810191829909
2018-06-13,59.75065680263407,60.25623125574934,59.558354499977554,59.62348937988281,9156900,0.0,0.0,0.0,SOXX,SOXX,-0.0015061790906159
2018-06-14,59.96777277028362,60.26862844809319,59.620382040489766,59.98017501831055,1635600,0.0,0.0,0.0,SOXX,SOXX,0.00598230063583105
2018-06-15,59.59246689691741,59.99878781929285,59.38155059388999,59.92744827270508,1122600,0.0,0.0,0.0,SOXX,SOXX,-0.0008790695523874792
2018-06-18,59.545933317923186,59.545933317923186,58.80153230295489,59.350528717041016,1675800,0.0,0.0,0.0,SOXX,SOXX,-0.009626966812248394
2018-06-19,58.463460060034684,58.74261003461357,57.80590307923838,58.69918441772461,2631000,0.0,0.0,0.0,SOXX,SOXX,-0.010974532382377777
2018-06-20,59.03417821616933,59.28231197346267,58.71160610648062,58.981449127197266,2007300,0.0,0.0,0.0,SOXX,SOXX,0.004808664929038198
2018-06-21,59.37846010906677,59.40327525832254,58.162606535161274,58.24945068359375,1245900,0.0,0.0,0.0,SOXX,SOXX,-0.012410655459226039
2018-06-22,58.531693594235556,58.568914537320026,57.67563320079985,57.78729248046875,1116300,0.0,0.0,0.0,SOXX,SOXX,-0.007934121226917723
2018-06-25,57.166964216611575,57.166964216611575,55.3679920632665,56.087581634521484,5441100,0.0,0.0,0.0,SOXX,SOXX,-0.02941322863537421
2018-06-26,56.27120074906538,56.56687259204721,56.00665188305044,56.28676223754883,11004000,0.206667,0.0,0.0,SOXX,SOXX,0.003551242489384654
